Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,52,23,23.1,3.3,7.5,.432,0.4,1.3,.329,2.8,6.2,.455,.462,1.0,1.7,.573,2.2,4.8,6.9,1.2,0.5,0.6,1.1,2.0,7.9
2,Steven Adams\adamsst01,C,28,MEM,59,58,26.4,2.8,5.1,.543,0.0,0.0,,2.8,5.1,.543,.543,1.5,2.7,.553,4.6,5.3,9.9,3.3,0.9,0.7,1.6,1.9,7.0
3,Bam Adebayo\adebaba01,C,24,MIA,37,37,33.3,7.2,13.5,.533,0.0,0.1,.000,7.2,13.4,.538,.533,4.5,6.1,.747,2.7,7.5,10.2,3.6,1.5,0.9,2.8,3.1,18.9
4,Santi Aldama\aldamsa01,PF,21,MEM,27,0,10.3,1.4,3.6,.381,0.1,1.4,.103,1.2,2.1,.569,.402,0.4,0.7,.600,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,43,12,22.8,5.7,10.3,.553,0.3,1.0,.311,5.3,9.2,.581,.569,2.0,2.3,.878,1.6,4.1,5.7,0.9,0.3,1.0,1.0,1.7,13.7
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,52,19,25.4,4.6,12.2,.374,1.8,5.9,.310,2.7,6.3,.434,.449,1.3,1.9,.722,0.7,2.5,3.2,2.7,0.8,0.4,1.6,1.7,12.3
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7,Grayson Allen\allengr01,SG,26,MIL,51,50,27.7,4.0,9.3,.428,2.5,6.4,.394,1.5,2.9,.503,.564,1.0,1.2,.847,0.5,2.8,3.3,1.5,0.8,0.3,0.6,1.4,11.4
8,Jarrett Allen\allenja01,C,23,CLE,53,53,32.7,6.6,9.8,.672,0.0,0.2,.100,6.6,9.6,.683,.673,3.0,4.2,.707,3.6,7.4,11.0,1.7,0.8,1.3,1.8,1.8,16.2
9,Jose Alvarado\alvarjo01,PG,23,NOP,33,1,12.8,1.9,4.5,.422,0.5,1.8,.305,1.3,2.7,.500,.483,0.6,0.8,.741,0.3,1.1,1.4,2.1,1.0,0.2,0.6,1.3,4.9
10,Justin Anderson\anderju01,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,3,0,10.0,0.7,3.7,.182,0.3,3.0,.111,0.3,0.7,.500,.227,1.0,1.0,1.000,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson\anderky01,PF,28,MEM,50,8,21.8,3.0,6.9,.434,0.5,1.6,.342,2.4,5.3,.462,.474,1.0,1.5,.636,1.0,4.3,5.4,2.7,1.1,0.6,1.0,1.6,7.5
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,51,51,32.7,10.0,18.4,.545,1.2,3.8,.301,8.8,14.5,.609,.576,8.2,11.3,.729,1.9,9.5,11.4,6.0,1.0,1.4,3.3,3.2,29.4
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,38,5,9.7,1.2,2.3,.494,0.0,0.3,.091,1.1,2.1,.551,.500,0.4,0.7,.615,0.9,1.3,2.2,0.5,0.4,0.2,0.5,1.6,2.8
